"Status","Year","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","1330","1285","21260","20920"
"In post","2021","20-29","77420","76290","29060","27570"
"In post","2021","30-39","103405","98065","34340","30830"
"In post","2021","40-49","112295","105080","36270","31470"
"In post","2021","50-59","141030","132135","34740","29750"
"In post","2021","60-64","37710","31035","31650","27570"
"In post","2021","65+","11640","8895","30570","26780"
"In post","2021","Unknown","50","45","33600","27570"
"Leaver CS","2021","16-19","110","[c]","20120","20820"
"Leaver CS","2021","20-29","5390","[c]","25560","23460"
"Leaver CS","2021","30-39","4080","[c]","33730","29540"
"Leaver CS","2021","40-49","3420","[c]","36380","29290"
"Leaver CS","2021","50-59","6410","[c]","36270","29290"
"Leaver CS","2021","60-64","4700","[c]","35720","29050"
"Leaver CS","2021","65+","3600","[c]","29350","25770"
"Leaver CS","2021","Unknown","120","[c]","40060","36740"
"Leaver Dept.","2021","16-19","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","4335","[c]","31890","31470"
"Leaver Dept.","2021","30-39","3690","[c]","39210","35070"
"Leaver Dept.","2021","40-49","2210","[c]","43660","37510"
"Leaver Dept.","2021","50-59","1455","[c]","41440","34740"
"Leaver Dept.","2021","60-64","130","[c]","36890","29190"
"Leaver Dept.","2021","65+","20","[c]","42630","37440"
"Leaver Dept.","2021","Unknown","125","[c]","45640","43340"
"New entrant CS","2021","16-19","900","[c]","21440","21010"
"New entrant CS","2021","20-29","23920","[c]","26650","26130"
"New entrant CS","2021","30-39","13610","[c]","31060","27570"
"New entrant CS","2021","40-49","9420","[c]","33060","27570"
"New entrant CS","2021","50-59","7705","[c]","31650","27570"
"New entrant CS","2021","60-64","1360","[c]","30360","27570"
"New entrant CS","2021","65+","280","[c]","34170","27570"
"New entrant CS","2021","Unknown","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Age","Age in 10 year bands. Age is calculated as at the reference date in each year (31st March), so entrants or leavers may have been up to one year younger at the date of exit or entry.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
