"Status","Year","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2023","Asian","35355","33175","35040","31280"
"In post","2023","Black","17290","16585","35030","32520"
"In post","2023","Mixed","9720","9265","37350","32790"
"In post","2023","Other ethnicity","2825","2695","38950","34170"
"In post","2023","Undeclared","19265","17980","37220","33050"
"In post","2023","Unknown","76985","73285","34190","29450"
"In post","2023","White","358340","334680","36580","32080"
"Leaver CS","2023","Asian","2765","[c]","33700","29660"
"Leaver CS","2023","Black","1860","[c]","33770","31060"
"Leaver CS","2023","Mixed","1000","[c]","34890","30360"
"Leaver CS","2023","Other ethnicity","315","[c]","37400","31060"
"Leaver CS","2023","Undeclared","1595","[c]","35430","30650"
"Leaver CS","2023","Unknown","9755","[c]","33530","28000"
"Leaver CS","2023","White","28790","[c]","34930","28120"
"Leaver Dept.","2023","Asian","1380","[c]","35840","32520"
"Leaver Dept.","2023","Black","610","[c]","34190","32520"
"Leaver Dept.","2023","Mixed","475","[c]","38280","34320"
"Leaver Dept.","2023","Other ethnicity","115","[c]","38580","33820"
"Leaver Dept.","2023","Undeclared","445","[c]","37060","33590"
"Leaver Dept.","2023","Unknown","3380","[c]","37190","32520"
"Leaver Dept.","2023","White","8955","[c]","38020","33320"
"New entrant CS","2023","Asian","3830","[c]","30130","26920"
"New entrant CS","2023","Black","1825","[c]","31000","28210"
"New entrant CS","2023","Mixed","1235","[c]","30450","27840"
"New entrant CS","2023","Other ethnicity","325","[c]","31180","28160"
"New entrant CS","2023","Undeclared","675","[c]","33180","28840"
"New entrant CS","2023","Unknown","21370","[c]","28550","25750"
"New entrant CS","2023","White","27500","[c]","30860","27650"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2023-07-26, with GIT d545f65.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Four organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","",""
"Year","Year of data collection (as at 31 March).","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","",""
